PESEL_WYBORCY,PESEL_KANDYDATA,DATA
12345678901,12345678901,2025-05-28
23456789012,23456789012,2025-05-28
34567890123,34567890123,2025-05-28
099991299,23456789012,2025-05-28
FAKE0,12345678901,2025-05-28
FAKE1,12345678901,2025-05-28
FAKE2,12345678901,2025-05-28
FAKE3,12345678901,2025-05-28
FAKE4,12345678901,2025-05-28
FAKE0,12345678901,2025-05-28
FAKE1,12345678901,2025-05-28
FAKE2,12345678901,2025-05-28
FAKE3,12345678901,2025-05-28
FAKE4,12345678901,2025-05-28
FAKE0,12345678901,2025-05-28
FAKE1,12345678901,2025-05-28
FAKE2,12345678901,2025-05-28
FAKE3,12345678901,2025-05-28
FAKE4,12345678901,2025-05-28
FALSZYWY0,34567890123,2025-05-28
FALSZYWY1,34567890123,2025-05-28
FALSZYWY2,34567890123,2025-05-28
FALSZYWY3,34567890123,2025-05-28
FALSZYWY4,34567890123,2025-05-28
FALSZYWY5,34567890123,2025-05-28
FALSZYWY6,34567890123,2025-05-28
FALSZYWY7,34567890123,2025-05-28
FALSZYWY8,34567890123,2025-05-28
FALSZYWY9,34567890123,2025-05-28
FALSZYWY10,34567890123,2025-05-28
FALSZYWY11,34567890123,2025-05-28
FALSZYWY12,34567890123,2025-05-28
FALSZYWY13,34567890123,2025-05-28
FALSZYWY14,34567890123,2025-05-28
FALSZYWY15,34567890123,2025-05-28
FALSZYWY16,34567890123,2025-05-28
FALSZYWY17,34567890123,2025-05-28
FALSZYWY18,34567890123,2025-05-28
FALSZYWY19,34567890123,2025-05-28
FALSZYWY20,34567890123,2025-05-28
FALSZYWY21,34567890123,2025-05-28
FALSZYWY22,34567890123,2025-05-28
FALSZYWY23,34567890123,2025-05-28
FALSZYWY24,34567890123,2025-05-28
FALSZYWY25,34567890123,2025-05-28
FALSZYWY26,34567890123,2025-05-28
FALSZYWY27,34567890123,2025-05-28
FALSZYWY28,34567890123,2025-05-28
FALSZYWY29,34567890123,2025-05-28
FALSZYWY30,34567890123,2025-05-28
FALSZYWY31,34567890123,2025-05-28
FALSZYWY32,34567890123,2025-05-28
FALSZYWY33,34567890123,2025-05-28
FALSZYWY34,34567890123,2025-05-28
FALSZYWY35,34567890123,2025-05-28
FALSZYWY36,34567890123,2025-05-28
FALSZYWY37,34567890123,2025-05-28
FALSZYWY38,34567890123,2025-05-28
FALSZYWY39,34567890123,2025-05-28
